date,open,close,high,low,volume,code
2012-06-18,2313.53,2316.05,2325.05,2309.71,60594622.0,sh000001
2012-06-19,2313.46,2300.79,2313.46,2298.39,60135905.0,sh000001
2012-06-20,2300.41,2292.88,2304.46,2291.54,54103955.0,sh000001
2012-06-21,2288.45,2260.88,2288.45,2253.79,58992012.0,sh000001
2012-06-25,2253.51,2224.11,2253.51,2223.05,59768952.0,sh000001
2012-06-26,2214.65,2222.07,2229.24,2203.94,52940798.0,sh000001
2012-06-27,2219.94,2216.93,2233.54,2213.32,51049128.0,sh000001
2012-06-28,2220.24,2195.84,2224.16,2195.36,54182183.0,sh000001
2012-06-29,2190.58,2225.43,2226.49,2188.72,61441886.0,sh000001
2012-07-02,2234.32,2226.11,2234.87,2215.36,62196207.0,sh000001
2012-07-03,2225.57,2229.19,2244.83,2219.05,62703021.0,sh000001
2012-07-04,2233.33,2227.31,2239.27,2219.45,55273656.0,sh000001
2012-07-05,2218.22,2201.35,2218.22,2192.65,57967934.0,sh000001
2012-07-06,2203.73,2223.58,2227.47,2185.52,76557917.0,sh000001
2012-07-09,2210.71,2170.81,2216.7,2168.61,75111472.0,sh000001
2012-07-10,2166.95,2164.44,2178.2,2156.73,58993972.0,sh000001
2012-07-11,2160.02,2175.38,2176.49,2156.6,58614472.0,sh000001
2012-07-12,2172.06,2185.49,2197.04,2152.68,82133762.0,sh000001
2012-07-13,2180.17,2185.9,2198.66,2177.92,57546838.0,sh000001
2012-07-16,2187.89,2147.96,2188.06,2146.15,67487681.0,sh000001
2012-07-17,2142.43,2161.19,2165.33,2141.48,55184408.0,sh000001
2012-07-18,2159.86,2169.1,2170.3,2138.79,66552659.0,sh000001
2012-07-19,2164.27,2184.84,2197.79,2159.94,79338049.0,sh000001
2012-07-20,2180.01,2168.64,2185.73,2162.06,64346672.0,sh000001
2012-07-23,2154.17,2141.4,2154.17,2135.56,55677081.0,sh000001
2012-07-24,2132.32,2146.59,2158.95,2131.01,54411286.0,sh000001
2012-07-25,2141.04,2136.15,2151.45,2132.83,48575894.0,sh000001
2012-07-26,2134.99,2126.0,2147.66,2124.16,52884076.0,sh000001
2012-07-27,2132.01,2128.76,2139.15,2120.63,52076920.0,sh000001
2012-07-30,2128.16,2109.91,2137.74,2107.63,51992383.0,sh000001
2012-07-31,2109.32,2103.63,2116.9,2100.25,53456097.0,sh000001
2012-08-01,2101.72,2123.36,2130.71,2101.71,53804602.0,sh000001
2012-08-02,2120.15,2111.18,2126.46,2103.5,53467539.0,sh000001
2012-08-03,2113.96,2132.8,2133.27,2108.33,53371329.0,sh000001
2012-08-06,2129.15,2154.92,2158.68,2127.26,71843204.0,sh000001
2012-08-07,2153.09,2157.62,2159.68,2148.9,75049798.0,sh000001
2012-08-08,2158.98,2160.99,2168.73,2153.02,72869536.0,sh000001
2012-08-09,2159.43,2174.1,2175.54,2148.69,72529246.0,sh000001
2012-08-10,2172.96,2168.81,2176.79,2165.28,68368559.0,sh000001
2012-08-13,2164.04,2136.08,2164.04,2134.55,71352322.0,sh000001
2012-08-14,2137.05,2142.52,2144.01,2119.25,67571589.0,sh000001
2012-08-15,2138.28,2118.95,2139.14,2118.5,54609394.0,sh000001
2012-08-16,2116.08,2112.2,2122.68,2109.66,45173009.0,sh000001
2012-08-17,2111.65,2114.89,2120.71,2100.79,44390634.0,sh000001
2012-08-20,2102.23,2106.96,2110.78,2089.02,46717499.0,sh000001
2012-08-21,2106.38,2118.27,2124.2,2103.07,60756505.0,sh000001
2012-08-22,2118.88,2107.71,2121.15,2097.6,58441412.0,sh000001
2012-08-23,2106.96,2113.07,2118.74,2097.08,58472299.0,sh000001
2012-08-24,2108.36,2092.1,2109.82,2089.22,60178948.0,sh000001
2012-08-27,2085.37,2055.71,2085.37,2055.38,60314833.0,sh000001
2012-08-28,2054.97,2073.15,2083.96,2052.49,54422104.0,sh000001
2012-08-29,2066.82,2053.24,2073.95,2051.77,52209808.0,sh000001
2012-08-30,2044.03,2052.58,2060.19,2032.54,61963792.0,sh000001
2012-08-31,2046.29,2047.52,2059.3,2044.65,46143904.0,sh000001
2012-09-03,2044.82,2059.15,2066.78,2041.16,60635498.0,sh000001
2012-09-04,2060.61,2043.65,2063.82,2039.27,57462184.0,sh000001
2012-09-05,2038.87,2037.68,2048.32,2029.05,57649803.0,sh000001
2012-09-06,2040.67,2051.92,2052.95,2036.37,56091817.0,sh000001
2012-09-07,2062.99,2127.76,2145.0,2062.99,139932624.0,sh000001
2012-09-10,2128.06,2134.89,2140.17,2120.49,103580026.0,sh000001
2012-09-11,2127.52,2120.55,2127.52,2107.22,80426638.0,sh000001
2012-09-12,2129.69,2126.55,2137.89,2109.14,84114742.0,sh000001
2012-09-13,2123.84,2110.38,2130.08,2110.0,79044972.0,sh000001
2012-09-14,2127.39,2123.85,2136.23,2111.12,91248271.0,sh000001
2012-09-17,2120.62,2078.5,2121.58,2077.48,76392233.0,sh000001
2012-09-18,2069.34,2059.54,2074.76,2053.66,53794850.0,sh000001
2012-09-19,2061.06,2067.83,2069.95,2055.2,52243629.0,sh000001
2012-09-20,2060.31,2024.84,2060.31,2023.08,67482659.0,sh000001
2012-09-21,2020.55,2026.69,2041.95,2018.26,60289456.0,sh000001
2012-09-24,2015.77,2033.19,2040.85,2005.26,57637779.0,sh000001
2012-09-25,2028.63,2029.29,2039.1,2021.81,48219408.0,sh000001
2012-09-26,2027.85,2004.17,2033.04,1999.48,50400828.0,sh000001
2012-09-27,2003.1,2056.32,2068.07,2002.32,76691457.0,sh000001
2012-09-28,2042.89,2086.17,2089.63,2040.35,79448952.0,sh000001
2012-10-08,2084.85,2074.42,2096.26,2063.09,55131612.0,sh000001
2012-10-09,2081.59,2115.23,2119.34,2081.59,84563788.0,sh000001
2012-10-10,2111.59,2119.94,2121.99,2102.53,78912035.0,sh000001
2012-10-11,2114.23,2102.87,2117.84,2101.14,74497029.0,sh000001
2012-10-12,2109.07,2104.93,2127.31,2092.51,68262972.0,sh000001
2012-10-15,2105.02,2098.7,2107.2,2085.11,53940751.0,sh000001
2012-10-16,2097.05,2098.81,2111.78,2089.7,57818438.0,sh000001
2012-10-17,2104.28,2105.62,2113.16,2088.04,59874065.0,sh000001
2012-10-18,2108.5,2131.69,2137.69,2107.49,87191092.0,sh000001
2012-10-19,2129.82,2128.3,2136.87,2125.74,67641279.0,sh000001
2012-10-22,2118.52,2132.76,2138.03,2112.75,60117222.0,sh000001
2012-10-23,2132.11,2114.45,2136.22,2111.92,72683806.0,sh000001
2012-10-24,2106.83,2115.99,2124.0,2104.67,72886618.0,sh000001
2012-10-25,2114.76,2101.58,2128.74,2100.61,85393109.0,sh000001
2012-10-26,2100.1,2066.21,2102.16,2058.06,78606435.0,sh000001
2012-10-29,2061.85,2058.94,2068.24,2053.09,53635009.0,sh000001
2012-10-30,2059.2,2062.35,2075.91,2054.26,60569092.0,sh000001
2012-10-31,2061.12,2068.88,2070.48,2053.58,59527234.0,sh000001
2012-11-01,2070.02,2104.43,2109.5,2069.95,82886670.0,sh000001
2012-11-02,2105.45,2117.05,2119.22,2096.53,76557220.0,sh000001
2012-11-05,2113.33,2114.03,2123.33,2104.58,71538762.0,sh000001
2012-11-06,2113.66,2106.0,2114.79,2078.47,71343850.0,sh000001
2012-11-07,2102.42,2105.73,2112.63,2093.29,59380128.0,sh000001
2012-11-08,2091.25,2071.51,2092.56,2070.65,66594561.0,sh000001
