date,open,high,close,low,volume,amount
2016-12-29,19.38,20.43,19.84,19.15,7483428.0,148998980.0
2016-12-28,19.59,19.73,19.41,19.37,3660958.0,71579628.0
2016-12-27,19.68,19.87,19.51,19.46,5779691.0,113512803.0
2016-12-26,19.81,19.9,19.89,19.0,5308359.0,103570441.0
2016-12-23,20.46,20.48,19.84,19.7,8776236.0,174986502.0
2016-12-22,18.5,20.42,20.42,18.45,15047083.0,297944719.0
2016-12-21,18.49,18.62,18.56,18.2,3839623.0,70858890.0
2016-12-20,18.45,18.48,18.38,18.2,2858300.0,52419980.0
2016-12-19,18.5,18.68,18.53,18.35,3087732.0,57170927.0
2016-12-16,18.53,18.85,18.48,18.45,4704517.0,87564896.0
2016-12-15,17.98,18.86,18.48,17.88,6019169.0,110980190.0
2016-12-14,18.11,18.5,18.04,17.55,8191683.0,147509459.0
2016-12-13,19.04,19.15,18.44,17.18,13158549.0,236563466.0
2016-12-12,19.48,19.92,19.02,18.98,8833621.0,173109430.0
2016-12-09,20.91,20.99,19.4,19.37,12020535.0,240388286.0
2016-12-08,21.3,21.39,20.91,20.85,4009518.0,84363597.0
2016-12-07,21.14,21.32,21.3,20.82,2590987.0,54671916.0
2016-12-06,21.18,21.38,20.98,20.85,4162073.0,87692334.0
2016-12-05,20.85,21.38,21.2,20.82,3902821.0,82578084.0
2016-12-02,21.58,21.59,21.06,20.75,6242678.0,131483461.0
2016-12-01,21.5,21.7,21.45,21.17,5674553.0,121438058.0
2016-11-30,22.21,22.37,21.47,21.14,11743154.0,253896671.0
2016-11-29,25.0,25.1,22.87,22.87,19025304.0,451149920.0
2016-11-16,24.5,25.52,25.41,24.5,9874828.0,248765085.0
2016-11-15,24.36,24.98,24.64,24.15,4482548.0,110335492.0
2016-11-14,25.22,25.23,24.33,24.15,8326502.0,204242919.0
2016-11-11,24.9,25.3,25.11,24.5,10758703.0,268729810.0
2016-11-10,24.48,25.4,24.96,24.23,11273155.0,280062389.0
2016-11-09,24.4,24.79,24.42,23.63,12165484.0,295464578.0
2016-11-08,23.17,24.5,24.47,22.95,10585097.0,252961862.0
2016-11-07,23.11,23.39,23.05,22.84,4406947.0,102013251.0
2016-11-04,23.17,23.65,23.39,22.8,5795055.0,134498695.0
2016-11-03,23.16,23.51,23.21,22.65,10878666.0,250881723.0
2016-11-02,23.8,23.99,23.07,23.0,10562811.0,245791125.0
2016-11-01,24.1,24.6,23.88,23.63,10432924.0,250038715.0
2016-10-31,23.78,24.75,24.25,23.51,15086873.0,366873349.0
2016-10-28,24.1,24.2,23.89,23.05,9699448.0,229251207.0
2016-10-27,23.89,24.28,24.04,23.89,9584680.0,230503915.0
2016-10-26,23.25,24.56,24.1,22.8,15104605.0,354582039.0
2016-10-25,21.61,23.58,23.24,21.61,15119461.0,345735197.0
2016-10-24,21.15,21.98,21.88,21.04,6403503.0,138850647.0
2016-10-21,21.15,21.34,20.97,20.78,3546440.0,74471012.0
2016-10-20,21.25,21.4,21.23,21.08,2593757.0,55016714.0
2016-10-19,21.35,21.56,21.19,21.09,3114148.0,66381434.0
2016-10-18,21.14,21.35,21.32,20.81,3865779.0,81637908.0
2016-10-17,21.99,22.09,21.0,20.96,4884843.0,104736856.0
2016-10-14,22.2,22.2,21.75,21.48,5878233.0,127783621.0
2016-10-13,22.43,22.75,22.24,22.13,4066855.0,91239232.0
2016-10-12,22.3,23.25,22.64,22.12,10386933.0,237652984.0
2016-10-11,21.59,22.47,22.37,21.59,7820900.0,172251415.0
2016-10-10,21.9,21.9,21.76,21.11,5645205.0,121876536.0
2016-09-30,21.19,21.75,21.57,21.13,4898125.0,104964640.0
2016-09-29,20.85,21.85,21.29,20.56,8611468.0,185198917.0
2016-09-28,19.88,20.98,20.86,19.71,9558075.0,195854467.0
2016-09-27,19.3,19.9,19.88,19.29,4292914.0,84054306.0
2016-09-26,21.03,21.1,19.29,19.19,10957526.0,218662445.0
2016-09-23,21.06,21.53,21.19,20.8,5625738.0,119283495.0
2016-09-22,20.95,21.5,21.06,20.94,6375507.0,135210211.0
2016-09-21,20.78,20.96,20.93,20.62,4351718.0,90650552.0
2016-09-20,21.16,21.31,20.8,20.44,9674423.0,200241778.0
2016-09-19,21.95,22.1,21.14,21.1,9228746.0,198250939.0
2016-09-14,21.8,22.06,21.95,21.6,3095812.0,67596046.0
2016-09-13,22.1,22.3,21.92,21.58,6092769.0,133571018.0
2016-09-12,22.5,22.77,21.93,21.5,11309014.0,250437582.0
2016-09-09,23.92,24.06,23.0,22.6,18255994.0,424386576.0
2016-09-08,24.8,24.8,24.22,23.81,13616993.0,330059034.0
2016-09-07,23.2,24.94,24.49,23.0,22862759.0,550558409.0
2016-09-06,22.74,24.07,22.99,22.74,13620503.0,316167958.0
2016-09-05,22.57,23.48,22.76,22.57,10849810.0,249250157.0
2016-09-02,22.33,23.8,22.85,22.33,23397657.0,539925015.0
2016-09-01,20.85,22.86,22.85,20.75,25857799.0,579055512.0
2016-08-31,20.92,20.94,20.78,20.65,2241951.0,46613824.0
2016-08-30,21.12,21.3,20.7,20.61,4232996.0,87943323.0
2016-08-29,21.87,21.87,21.09,21.0,5180700.0,111104145.0
2016-08-26,21.79,21.95,21.76,21.61,3385569.0,73642786.0
2016-08-25,21.8,22.03,21.76,21.53,5086589.0,110701961.0
2016-08-24,21.88,22.38,22.01,21.75,7432139.0,164591395.0
2016-08-23,22.41,22.41,21.54,21.38,5627400.0,123269119.0
2016-08-22,22.08,22.4,22.2,21.8,6499010.0,143396762.0
2016-08-19,22.6,22.6,22.19,21.99,10007153.0,221984510.0
2016-08-18,22.41,23.04,22.69,22.22,15686494.0,354865909.0
2016-08-17,22.51,22.78,22.37,21.83,13720879.0,305487324.0
2016-08-16,21.81,23.0,22.78,21.81,19051498.0,429004032.0
2016-08-15,21.6,22.38,21.99,21.18,14681368.0,322368107.0
2016-08-12,20.77,21.6,21.34,20.71,8277691.0,175808454.0
2016-08-11,21.09,21.25,20.81,20.77,6889468.0,144247508.0
2016-08-10,21.44,21.5,21.01,20.98,7484392.0,158582607.0
2016-08-09,21.14,21.7,21.68,20.8,11589833.0,245653235.0
2016-08-08,21.41,21.55,21.16,20.8,8336175.0,175541008.0
2016-08-05,22.15,22.7,21.66,21.55,13084460.0,289318316.0
2016-08-04,21.79,22.0,21.92,21.31,12545757.0,272225548.0
2016-08-03,21.0,22.45,22.13,20.51,19193739.0,416875076.0
2016-08-02,20.55,21.12,20.77,20.17,16346413.0,340555427.0
2016-08-01,20.37,21.22,20.42,20.03,10644522.0,219709891.0
2016-07-29,20.92,21.74,20.69,20.52,12374196.0,259422860.0
2016-07-28,21.98,22.14,21.12,20.85,18633993.0,398099770.0
2016-07-27,21.82,23.35,22.66,21.3,31002870.0,695243726.0
2016-07-26,22.15,22.78,21.6,21.2,18603919.0,404164550.0
2016-07-25,20.17,21.98,21.98,20.0,20356447.0,436267328.0
2016-07-22,19.41,20.8,19.98,18.82,13813642.0,277208379.0
2016-07-21,18.31,19.53,19.09,18.25,16673231.0,315894950.0
2016-07-20,18.17,18.73,18.47,18.09,6317686.0,116867662.0
2016-07-19,18.3,18.3,17.99,17.9,4269151.0,77186443.0
2016-07-18,18.0,18.52,18.31,18.0,5968698.0,109042324.0
2016-07-15,17.69,18.79,18.32,17.69,10609598.0,194955451.0
2016-07-14,17.6,17.73,17.68,17.21,4794358.0,84169038.0
2016-07-13,17.88,17.89,17.63,17.53,5406569.0,95713623.0
2016-07-12,17.82,17.95,17.58,17.05,8108498.0,141786354.0
2016-07-11,18.0,18.5,17.95,17.71,9424136.0,170249172.0
2016-07-08,19.5,19.5,18.47,18.15,18940858.0,355170150.0
2016-07-07,18.66,18.66,18.66,18.41,4875655.0,90968051.0
2016-07-06,16.96,16.96,16.96,16.96,115812.0,1964172.0
