date,open,high,low,close,volume,adj Close
2000-06-08,81.875,82.75,80.25,82.375,46768600,38.560522
2000-06-07,76.75,80.25,75.5625,80.00,34080800,37.448761
2000-06-06,80.50,81.50,76.25,77.0625,40020000,36.07369
2000-06-05,79.25,82.00,79.00,80.9375,38507200,37.887614
2000-06-02,80.50,81.50,78.50,80.1875,57964800,37.536532
2000-06-01,73.9375,77.875,73.50,77.875,53401000,36.454029
2000-05-31,73.25,76.4375,71.75,71.875,50939800,33.645372
2000-05-30,68.875,74.1875,68.5625,74.1875,38933000,34.727875
2000-05-26,66.8125,69.50,65.0625,67.00,28903800,31.363338
2000-05-25,65.50,70.8125,65.00,66.4375,80958000,31.100026
2000-05-24,61.765621,64.50,58.125,64.25,85195200,30.076037
2000-05-23,67.00,68.50,62.375,62.625,58574000,29.315359
2000-05-22,70.0625,70.25,62.75,67.8125,91156000,31.743677
2000-05-19,72.00,74.00,69.50,70.0625,52228800,32.796923
2000-05-18,78.3125,78.75,72.4375,73.0625,46444600,34.201252
2000-05-17,77.75,79.875,76.25,78.1875,33993600,36.600313
2000-05-16,77.625,79.75,77.0625,79.1875,38261400,37.068422
2000-05-15,74.4375,77.00,70.625,77.00,41971800,36.044433
2000-05-12,73.3125,76.4375,73.0625,74.1875,39038200,34.727875
2000-05-11,68.9375,72.375,68.00,72.375,46590200,33.879426
2000-05-10,70.9375,73.125,67.50,67.625,71169800,31.655906
2000-05-09,73.6875,74.25,71.25,72.00,43535200,33.703885
2000-05-08,75.3125,76.00,72.0625,72.3125,36528400,33.85017
2000-05-05,74.00,77.00,73.75,76.8125,35289600,35.956662
2000-05-04,75.3125,76.9375,73.00,74.25,39899800,34.757132
2000-05-03,76.875,77.125,72.125,75.8125,49603200,35.488553
2000-05-02,78.9375,79.50,77.375,77.8125,35341000,36.424772
2000-05-01,79.875,81.875,78.75,79.6875,37093400,37.302477
2000-04-28,78.50,80.00,78.125,79.9375,41696600,37.419505
2000-04-27,70.0625,77.5625,69.9375,77.3125,52101000,36.190717
2000-04-26,76.125,77.8125,71.0625,72.1875,47788800,33.791656
2000-04-25,74.875,76.375,72.625,75.5625,61764200,35.371525
2000-04-24,67.375,72.6875,67.00,72.4375,59725600,33.908683
2000-04-20,73.8125,75.50,69.875,70.8125,50397800,33.148005
2000-04-19,78.625,79.5625,74.25,74.5625,46184200,34.903416
2000-04-18,75.5625,79.0625,73.75,78.9375,78738800,36.951395
2000-04-17,60.50,74.875,60.171879,74.8125,115304800,35.020443
2000-04-14,69.921883,71.281242,60.25,62.50,109951400,29.256845
2000-04-13,74.875,77.50,71.75,71.9375,63206800,33.674628
2000-04-12,77.9375,80.00,72.9375,73.125,67133000,34.230509
2000-04-11,80.1875,81.625,76.8125,77.375,70983800,36.219974
2000-04-10,87.50,87.625,82.25,82.50,56241200,38.619035
2000-04-07,83.6875,87.25,83.00,87.125,46764600,40.784042
2000-04-06,80.625,83.4375,80.125,82.1875,62408200,38.472751
2000-04-05,73.25,81.00,72.546883,78.25,73736800,36.62957
2000-04-04,78.125,78.125,65.078117,75.9375,123633800,35.547067
2000-04-03,78.625,80.625,75.00,76.875,71598000,35.985919
2000-03-31,80.1875,81.5625,76.00,78.0625,79842000,36.541799
2000-03-30,78.50,84.50,78.00,78.4375,70986000,36.71734
2000-03-29,86.0625,86.125,82.0625,82.50,51966200,38.619035
2000-03-28,87.625,90.00,85.50,86.5625,36039200,40.52073
2000-03-27,89.0625,89.3125,86.9375,88.4375,32597200,41.398436
2000-03-24,86.8125,89.6875,86.4375,87.00,52821600,40.725528
2000-03-23,83.125,88.00,82.5625,86.875,50803800,40.667014
2000-03-22,81.00,84.375,78.875,84.0625,53197600,39.350456
2000-03-21,77.875,80.875,76.00,80.6875,52621400,37.770587
2000-03-20,80.50,80.625,77.5625,78.125,47183600,36.571056
2000-03-17,81.75,82.00,79.50,79.8125,66055200,37.360991
2000-03-16,80.6875,82.5625,76.6875,81.9375,95532400,38.355724
2000-03-15,84.00,85.00,77.00,78.625,144810400,36.805111
